# Synthetic Tailguard sourcing-option fixture; not supplier data or sourcing advice.
component,supplier,base_cost,kappa,lead_time,type
Ethylene_Oxide,ethylene_oxide_offshore_1,210,140,40,offshore
Ethylene_Oxide,ethylene_oxide_offshore_2,185,90,35,offshore
Ethylene_Oxide,ethylene_oxide_domestic_1,280,12,1,domestic
Ethylene_Oxide,ethylene_oxide_domestic_2,295,10,1,domestic
Rare_Earth_Oxides,rare_earth_oxides_offshore_1,320,280,45,offshore
Rare_Earth_Oxides,rare_earth_oxides_offshore_2,290,200,38,offshore
Rare_Earth_Oxides,rare_earth_oxides_domestic_1,480,25,1,domestic
Specialty_Solvents,specialty_solvents_offshore_1,95,55,30,offshore
Specialty_Solvents,specialty_solvents_offshore_2,110,40,28,offshore
Specialty_Solvents,specialty_solvents_domestic_1,145,8,1,domestic
Specialty_Solvents,specialty_solvents_domestic_2,150,6,1,domestic
Polymer_Pellets,polymer_pellets_offshore_1,78,48,38,offshore
Polymer_Pellets,polymer_pellets_offshore_2,72,52,36,offshore
Polymer_Pellets,polymer_pellets_domestic_1,105,5,1,domestic
Catalyst_Package,catalyst_package_offshore_1,850,120,7,offshore
Catalyst_Package,catalyst_package_offshore_2,780,200,30,offshore
Catalyst_Package,catalyst_package_domestic_1,1100,30,1,domestic
Catalyst_Package,catalyst_package_domestic_2,1050,25,1,domestic
