# Synthetic Tailguard sourcing-option fixture; not supplier data or sourcing advice.
component,supplier,base_cost,kappa,lead_time,type
300mm_Wafer,300mm_wafer_offshore_1,185,95,30,offshore
300mm_Wafer,300mm_wafer_offshore_2,175,80,28,offshore
300mm_Wafer,300mm_wafer_offshore_3,170,85,32,offshore
300mm_Wafer,300mm_wafer_domestic_1,250,15,1,domestic
Photoresist_EUV,photoresist_euv_offshore_1,620,350,7,offshore
Photoresist_EUV,photoresist_euv_offshore_2,590,320,8,offshore
Photoresist_EUV,photoresist_euv_domestic_1,850,40,1,domestic
CMP_Slurry,cmp_slurry_offshore_1,310,120,25,offshore
CMP_Slurry,cmp_slurry_offshore_2,290,110,28,offshore
CMP_Slurry,cmp_slurry_domestic_1,420,18,1,domestic
Deposition_Gas,deposition_gas_offshore_1,125,80,30,offshore
Deposition_Gas,deposition_gas_offshore_2,115,75,28,offshore
Deposition_Gas,deposition_gas_domestic_1,180,10,1,domestic
Deposition_Gas,deposition_gas_domestic_2,175,8,1,domestic
Substrate_PKG,substrate_pkg_offshore_1,420,200,35,offshore
Substrate_PKG,substrate_pkg_offshore_2,390,220,38,offshore
Substrate_PKG,substrate_pkg_domestic_1,580,20,1,domestic
